gender,age,certification_area,grad_date,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8,Q9_1,Q9_2,Q10,Q11,Q12,Q14
0,0,1,2,4.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,One challenge I found to be difficult was figuring out the best way to collect data and analyze it. Once I completed my research and collected all of the data I was happy to see that the incentive did work and more students completed their homework. ,4.0,3.0,During this study I learned that when giving the students an incentive they work harder because they receive something at the end. For many students I learned that it was just the joy and excitement of being able to select something from a treasure box. I was able to realize that the students also have a problem with being responsible for their own papers and keeping track of them. ,This allowed me to see what incentives can do for students. It also allowed me to realize how little of parent involvement we have in our class.,I intended to find an increase in homework completion in our classroom. I ended up using a treasure box incentive for students who completed their ELA homework. The incentive did work for our classroom and many students completed their homework. I was able to get all but one student to complete their homework with the treasure box incentive.,0
0,0,2,2,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,This project opened doors into my field of education. It allowed me to see the thorough process of research to accurately find what will work best in the classroom. I also like how we were able to choose a project specific to our class and students. ,4.0,4.0,"I have learned that my students enjoy discussing things verbally, but in a controlled environment. I have also learned that once they feel comfortable in one discussion, they may feel more open to discuss in whole-class settings. ",This study has impacted my perception as a teacher because it has shown me how to try different things with my students to see what will work. It has also shown me how to stop complaining about what's wrong and attempt to fix it. ,"I found out that fishbowl discussions help improve engagement in an eighth grade English Language Arts classroom. I intended to this discover this. 
I also found out that students prefer to choose what to discuss in an open discussion. This way, they are more interested. There were no intended outcomes that did not occur. ",0
1,0,2,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,"Pluses: I learned how to actively conduct an action research project, in which I am already using this knowledge inside the classroom. I also know more about the inner-workings of a research study now. 

Challenges: Unplanned events during the study, such as a lockdown, made maintaining a smooth study difficult. The time pressures were also challenging. 

Interesting Elements: Figuring out how to arrange and design my checklist tickled my brain. I had to figure out a checklist that was both user-friendly and allowed me to measure what I needed to measure. ",5.0,4.0,"I learned that my students work better within certain grouping methods. I also learned that active research takes place in the classroom all the time, sometimes even unconsciously. ",Conducting this study made me more confident as a teacher because it introduced me to a problem-solving approach that I can utilize in my future teaching. ,"I found that gifted students work best in groups where achievement levels are mixed. These results match up to my hypothesis. I knew that the homogenous groups were not working, so whether it be hopeful thinking or thorough thought, predicted the outcome. I was surprised, though, that the students who remained unproductive in heterogenous groupings were all the same throughout. It shows that this grouping method is not a perfect fix for some students. ",0
0,0,2,2,2.0,3.0,5.0,4.0,2.0,5.0,3.0,5.0,3.0,"The most challenging part of this project for me was being able to analyze the data. I most likely made it more confusing than it actually was supposed to be, but I understood it more once you helped us by checking our analysis and giving us feedback so thank you!
",3.0,3.0,"I learned that students do not like to be introduced to a new way of learning and doing class so late in the year. When the project was first introduced to them, a few of the students just put random checks because they did not feel like doing it. Eventually, they did it right but it took a while.",Conducting this study may have impacted my perception of myself as a teacher because I feel better knowing that I can introduce new lessons/assignments to students and they will mostly be able to adapt well to learning new ways of learning.,"The outcome that was intended to be found by this project was that off-task behavior would be decreased by the students using a behavioral checklist each day. This did not happen as the data fluctuated and there was not a consistent yes that behavior was affected by behavioral checklists. I did not find that there were any unexpected outcomes, though.",0
0,0,2,2,1.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,This process made me slow down and really think. I had to think of problems and ways that i could potentially fix/ help with the issues. ,3.0,2.0,I learned that many of my students who refuse to read were some of the most attentive readers. These students were able to learn/retain more information than a class period without readings. ,As a teacher i have seen first hand the importance of reading. I not only want to encourage students to read. I want to present them resources giving them the means and opportunity to read. ,"Students were participating in discussion more, small group and whole class. 
Students were finishing their work within the class period, not having to take it home to finish after week 1. 
After about 8 days, the few students that complained about reading, quit complaining and got straight to the bell work reading. ",1
0,0,2,2,2.0,1.0,5.0,4.0,2.0,3.0,2.0,3.0,1.0,I was surprised on how many things I was able to come up with in my mess list. There are so many areas in education that need to be fixed or improved,5.0,2.0,students are more likely to do an intended behavior with incentives,I have learned to be more understanding to certain situation that students face. I thought I had to be super strict to earn respect,"during the research, certain circumstance came up that I did not expect. so an outcome that emerged unexpectedly was the lack of motivation and initiative for students to do their work. They didn't even care that I was rewarding them. ",1
0,0,1,2,2.0,1.0,5.0,3.0,3.0,4.0,2.0,2.0,1.0,The plus of the study I conducted was the growth I saw in the participation. Students will benefit from participating in class so this study truly helped those students even if it was for three weeks. ,5.0,4.0,"students often times don't complete their work and aren't doing it because they don't know it, sometimes it is because they are bored and zoned out and then don't know what to do exactly. ",I know when things are not going how I want them to go I can try new things to change the situation. I do not have to wait until the next year. Just because I did not start the year out doing a study doesn't mean I have to wait. ,"When students are made to focus on their work, most of the time they will want to do good work. By giving them attention and allowing them to focus on work in a positive environment. ",0
0,0,1,2,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,Tough to do on top of student teaching.... Very time consuming.. ,2.0,2.0,I learned that my students absolutely loved brain breaks! I also learned these help students to refocus. ,I am not sure that this study actually impacted my perception.,"As a result of my study, I found out that students engage in the classroom more when they are given a few minutes or even seconds to complete some physical activity and then refocus on the lesson. I intended to find the engagement increased and was pleased to see this happen in front of my eyes. ",1
0,0,2,2,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,A challenge was getting students to return consent forms.,4.0,4.0,All my students responded differently which may be because I chose students with varying academic and motivational levels,All students respond differently to different strategies so I think it’s important to do research on all types of students to better understand what motivates them in the classroom.,I was tracking only the responses of my participants but it seemed like the other students in the class that I wasn’t collecting data on also participated more in the class during the data collection period.,1
0,0,1,2,2.0,2.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,I found it interesting how the students still participated even after the study was finished.,5.0,2.0,I learned that helping them become more organized benefits them in the end.,It made me realize some problems are simple to solve compared to how others make you think they all need a complicated solution.,That allowing students time to organize their spaces at the end of the day builds skills needed all throughout life.,0
0,0,2,2,2.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,"I do believe my challenges with this came from the data analysis and how i was going to collect this data gathering than just an observation.
I did like the reflecting on problems in the classroom because i feel like us as teachers need to be more reflective.",3.0,4.0,I learned that there is always room to improve in your classroom with a lot of aspects.,I think my perception of myself as a teacher changed by allowing me to see how reflective i am on my teaching and the classroom.,I found that students actually have a few more things that need to be worked on before they can handle time management. I think there were other factors such as motivation and drive that interfered with a true reading of time management on completion of work.,0
0,0,2,2,2.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,The pluses of this process was to realize how many things in our classroom that were “bugs”. When I started making the bug list I did not realize how easy it would be to come up with a bunch of bugs. Challenges were finding literature to use for the study. It was hard to find studies that related to what I was researching. An interesting element of the study was finding patterns when analyzing the data that I didn’t think I would see happen.,2.0,1.0,From the study I learned my students need motivation to do work in class. When the motivation was there they were more likely to complete the work.,"This study impacted my perception of myself as a teacher because I know I can work and try new things to fix a problem in my classroom. Instead of just thinking nothing will change the students behavior, I now know their behavior can be changed. ",As a result of my study I saw an increase in the number of practice problems students completed during whole class instruction. Students knowing they could be called to the whiteboard to share their work motivated then to complete the practice problems. I intended for this to be the outcome but the drastic increase in the completion of problems was more than I expected. There was not any intended outcomes that did not occur.,0
0,0,0,2,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,"I personally believe that one of the 'pluses' of this process was to actually get to experience and see research being implemented into a classroom full of younger aged students. It was definitely a more challenging process than I thought, not because of the actual research project itself, but because we were required to complete this on top of being a full-time student intern and having the duties that come along with that. It was definitely interesting to see how much it actually helped the students because at first I personally thought it was going to flop.",4.0,3.0,I learned that my students are capable of much more than I thought they were if they just put their mind to it and work hard! ,It definitely made me realize that I can multitask while teaching pretty well. As I was teaching I was constantly jotting down names and checking off an observational checklist which I though would be challenging without having to stop the lesson so that I wouldn't forget. I just kept on rolling!,"At first I thought my study would completely fail, however, the study actually did help majority of my students. I even had a SPED student who increased phenomenally with this study being implemented which was a very unexpected outcome for me personally.",0
0,0,0,2,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,The benefits from this process is that it truly helped with everyday instructional time. Now that there is minimized disruptions it is easier to get teaching done. Challenges I found was taking the time to observe desired behaviors.,3.0,3.0,I learned that if you are having an issue in class children are highly motivated by receiving rewards. ,Most unwanted behaviors are fixable! If you take the time to figure out what works it can make your life a lot easier in the long run.,I intended to find a significant amount of progress within two weeks of research. Intended outcomes that did not occur was a particular student who was not very interested in the process but would be if I constantly reminded them. An outcome that emerged unexpectedly was one student who went from barely any hand raising who met her goal every day on the last week of research.,0
0,1,2,2,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,"I really enjoyed the process of conducting research. I believe this is a vital skill learned, especially for those that choose to continue their education.",4.0,3.0,I believe that I learned appropriate ways to adjust student issues while strengthening my classroom management skills.,"I believe that I have so much work to do as a teacher. While I have learned everything I can from the college of education, I lack the experience that comes with being in the classroom. ",I found that student paced whole class assignments are very successful and should be used more in a classroom setting.,0
0,0,1,2,5.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,1.0,"The hardest part about this process was finding a problem that was suitable enough for a research topic and finding literature and resources to research the topic of choice. As the years progress, it becomes harder and harder to find new topics that are easy to research in a 3 week span.",5.0,3.0,I was able to see how they behaved in different ways and track their interest levels for different topics.,I think this study helped me understand and see that it's okay to change your classroom management from year to year or even semester to semester if it is needed in your classroom.,"I found that students will engage in recreational reading if they are encourage to not only by their peers but also by the teacher. I had several students asking when their turn to participate in the activity would be, and this showed anticipation to learn and better themselves. I had no outcome that I  intended and did not occur.",0
0,0,2,2,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,It was hard to keep my mentor teacher in the process because she forgot about me sometimes. ,4.0,4.0,I learned that students are not easily motivated ,I felt more confident in myself as a teacher. ,I thought that it would be a positive increase in homework completion but it was the opposite the students started to do less homework. It was before break so this could be why. Sometimes my mentor teacher forgot to put homework in as a grade so it was no longer as big of a deal as it was. ,0
0,0,2,2,2.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,The most challenging part of the process was starting because I had to wait for IRB approval and then get my permission slips signed. ,5.0,3.0,I learned that grammar practice is necessary and that my students were not exposed to basic grammar rules since middle school. ,It made me rethink what I see as a necessary skill in the classroom. We skip around a lot in the curriculum and now I wonder if we should. ,"An outcome I found in this study was a difference in participation in correlation to gender and the activity presented. For the most part, my outcomes of improvement in grammar scores did occur, but I do wish I could actively see it in their writing. ",0
0,0,1,2,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,"Noticing how three weeks felt like very short time once collecting data versus how I felt before the experiment, thinking how long it was going to be. ",4.0,3.0,I learned that students need to feel responsible for something and be held accountable other wise they may just not care about what does not belong to them. ,"I felt like trying something new at the end of the school year really refreshed my students and made them excited again. So, it has impacted me by showing me to be that teacher that tries new things and brings an excitement to class. ","My intended outcome was to see if students being held accountable for a tangible item could help decrease their pencil interruptions during instruction. This study helped me see that this was leading to become a non interrupted class due to pencils. Pencil management, if continued would have been solved. ",0
0,0,2,2,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,One challenge was motivating students. ,4.0,5.0,Students do not know how to efficiently study. I learned that giving them study tasks helped their test scores. ,I now see how I will be doing this kind of all the time in my classroom. Trial and error to improve my classroom. ,"Students enjoy having something creative. For example, having them create their own graphic organizer. ",0
1,0,2,2,3.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,I found it hard to actually write up the plan of study. I had no idea for how to write up an IRB plan at all.,3.0,2.0,I learned that these students appreciated being treated with responsibility and that this opportunity made them feel respected. I realized that I enjoy facilitating learning and giving opportunities rather than directing.,It made me feel as though I had a lot more to learn and that I am still coming into my own as a teacher. It made me feel as though there is much more work I need to do on myself.,I found that students become much more engaged when you allow them to pursue their own interests.  I intended to find whether students became more engaged if given freedom to pursue their interests.,1
0,0,1,2,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,"Pluses: three-week research study only before LEAP

Challenges: getting the results I wanted from the students 

Interesting Elements: seeing how the students rated themselves, honesty ",5.0,5.0,"When asking students to rate themselves, half were honest while the other half were not. Improving student accountability takes time. ","It's important to allow students multiple opportunities to collaborate, through group activities, in order for them to learn important life skills. ",Students started taking more accountability for their learning and actions. ,0
0,0,1,2,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,"Pluses: three-week research study only before LEA

Challenges: getting the results I wanted from the students

Interesting Elements: seeing how the students rated themselves, honesty",5.0,5.0,"When asking students to rate themselves, half were honest while the other half were not. Improving student accountability takes time.","It's important to allow students multiple opportunities to collaborate, through group activities, in order for them to learn important life skills.",Students started taking more accountability for their learning and actions.,0
0,0,1,2,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,Students participated and reacted in a positive manner to the project. The only challenge was to get students to return consent forms.,3.0,3.0,"When incentives are offered, students are willing to work hard and do as they should.",To allow my students to have chances and to reward them for good deeds. Students handle a lot with school and all the work that has to be done. ,"Outcomes I found within my study were students being on task, participating in class, collaborating with group members, working diligently, and paying attention. The outcomes I found, were the outcomes I intended to find. There was a significant change between the first week of observations and the second week of implementing the competition.",0
0,1,1,2,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,"The positive side of this process was seeing how simple it is to incorporate small things into the classroom to make a big change. The process of completing the study (data gathering, implementing intervention) while teaching was the most challenging part of this process. The most interesting elements of these stages was seeing the positive impact of the intervention in my classroom and being able to analyze the data to see what worked and when.",4.0,2.0,I learned that my students are much more interested in behaving when there is some positive to come from it. They were less interested in behaving when we were not running the intervention strategy chosen.,"This study has not impacted my perception of myself as a teacher, but it has helped me to better learn how my students respond to different behavior management strategies.",I found that students were much more likely to behave when they were being held accountable for the success of their classmates as well as themselves. Many students displayed more positive behaviors during the intervention and it even trickled into the next week while data collection was still going on. ,0
0,0,1,2,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,This process seemed daunting at first but ended up being very simple. This process helped me to realize how expansive my knowledge of education has become over the last four years. The hardest part was deciding which problem was worth choosing and overcoming the fear of trying new things. ,4.0,3.0,Some students will be very responsive to certain teaching strategies while others will not. Teaching is never a one-size-fits-all profession.,"This study has helped me realize that I knew my students on a deep, personal level. The small data results may not be very meaningful to many others, but it was very interesting and informative for me having the student background knowledge to examine as well.","I intended to find the degree to which students respond to incentives for doing things that they are usually unmotivated to do. I believe that I did achieve these outcomes as I was able to witness different students providing diverse data. Some students will respond as you hope, while others will need different management strategies to feel motivated.",0
0,0,0,2,2.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,"I think a plus of this research project was the realization of issues within the classroom and finding a potential solution to them rather than just letting them happen. If I hadn't intervened with this research project, my participant would still continue to be sleeping throughout lessons daily. This research project has kept her awake and has improved her learning. The challenge of this project was just remembering to write down and keep track of when she fell asleep, the duration of sleep, as well as her participation in class. The school days are definitely chaotic so it was tricky to remember sometimes! Lastly, I found it interesting how closely linked her sleeping patterns and participation in class seemed to be. By week three, she was not sleeping at all and her participation level doubled from the two weeks prior.",3.0,4.0,"I learned that children need to give their brains a rest throughout the school day for at least a short period of time. They learn so much in one day and don't even have nap time even though they are only in kindergarten. I think taking a short break, especially during an extensive lesson, will end up helping them learn more in the end.","I do think this research project has impacted my perception of myself as a teacher. I think it has taught me to reflect on my students and really pay attention to their needs. If a child is struggling, help them. If a child keeps falling asleep in the classroom, figure out why and try everything you can to help them be as successful as possible.","As a result of this study, I found that sleeping patterns have a direct correlation on a child's success and participation in the classroom. This was an outcome I intended to find and I am glad my research was able to prove this. An intended outcome that did not occur was I expected my participant to sleep less by week tho, which technically did happen (slept twice in week one and only once in week two), however, the duration of sleep was longer in week two. Regardless, this research study decreased the times in which she slept in class while increasing the times in which she was on task and participating.",1
0,0,1,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,This project really helped me help students become more prepared each day. The students were using less instructional time looking for a pencil. Positive reinforcement helped my students want to be prepared and they looked forward to earning their leader bucks each week. The only slight difficulty I had with the project was receiving consent forms on time. ,5.0,5.0,"I learned that y students respond really well to positive reinforcement in the classroom. Also, having something like ""leader bucks"" in the classroom helps students learn how to have a growth mindset. ",Conducting this study positively impacted my perception of myself as a teacher. The study helped me realize how positive reinforcement can help all students learn to have a growth mindset and want to succeed in the classroom. ,"Overall, implementing the chart and positive reinforcement did seem to help students keep track of their pencils and be prepared during class. After students not receiving the reward for week 1, the two following weeks consisted of students being prepared every day and were looking forward to receiving their 5 leader bucks. It seems that students responded well to positive reinforcement for week 2 and ended up earning the reward for the following week as well. However, if this study was to be done again over a longer time period, results may be different.
",0
0,0,0,2,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,"Throughout this process, a new way was found for me to manage classroom behavior. Not only did it help students to monitor themselves individually, but it also helped them to stay motivated to work as a team towards their goals. The main challenge was reinforcing the beans earned to students displaying desired behavior rather than focusing on those who were not doing so. I found it interesting when I would pick up a handful of beans and walked around, students seemed to straighten up and exemplify desired behavior if they weren't before.",4.0,4.0,"Throughout this process, I learned that my students are creatures of habit. When I began awarding beans first thing in the morning, they were more conscious of their behavior for the rest of the day. If I would remember to give out beans later in the day, their behavior seemed more inconsistent. Overall, I learned that my students achieve more when they work as a team. From experience, their individual incentives in our classroom tend to get forgotten about, but group incentives in our class typically get earned much quicker and more frequently. As a supporter of learning, I learned that I get better results when positive reinforcement is involved. ","Before conducting this study, I truly did not think I was capable of creating and maintaining my own behavior management. I have always just gone along and implemented the previous routines and procedures in my mentor's classroom. I learned that I am capable of creating a positive classroom management technique that helps students individually and helps to build classroom culture. ","After this study, I have realized that many students respected me and were more willing to show desired behavior when I positively reinforced their actions. By the end of the study, the intended outcome was to decrease outbursts and disruptions during instruction time through positive reinforcement and incentives. This was the only main outcome that was intended and that did occur. This was ultimately achieved by the end of the three week study. ",0
1,0,2,2,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,"Conducting the study was a challenge as I felt that things were constantly not going my way, but this caused my to adapt and adjust my study to accommodate these challenges.",4.0,4.0,"I have learned that my students are much more responsive to cooperative learning, and enjoy interacting and discussing the classes content together.",This study impacted my perception of myself as a teacher as it showed me the importance of finding the best teaching practices in order to give my students the best education possible.,"As a result of my study, I found that students were more receptive to cooperative learning activities within the classroom on average. This is the outcome I intended to find, sadly due to shortened timeframe for my study, I did not recognize and unexpected outcomes.",0
0,0,0,2,3.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,"I found the main challenge that I had was with time. I was behind on data gathering from the start because of IRB and when I wanted to get started my school was doing practice LEAP testing. I also had a struggle with putting my findings into a data chart to fully explain what I had learned. 
I did find it interesting how much I did find out about this student and trying different aspects of my research to find what worked and what did not work for this student.",4.0,5.0,I learned that the student I researched does well with a reward system and that he also works well with consistent positive praises. I made it a point to constantly give him oral praises with positive reinforcements. ,Conducting this study may have impacted my perception of myself as a teacher because I now can see how differentiated my instruction needs to be between different students because every student is different and may need to learn in different ways.,"In my study I found that this student works best with structure. He also works well with a reward system and when he is working towards something. I noticed that this student has less frustration and anxiety during subjects he is more comfortable with like reading. Where as in math, the student tended to get more off task and result in frustration because the student was not comfortable with this subject. This is when I used one on one instruction and positive reinforcement with the student and saw improvements.",0
0,0,1,2,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,"The students who never give me problems (never talked) in the classroom were the ones who loved the ""Blurt Beans"" strategy the most. ",3.0,3.0,"I learned that not all students react to behavior management strategies in the same way. For instance, the students who have major blurting tendencies were not fazed by the ""Blurt Beans"" strategy. ","This strategy made me realize that not as ""on top"" of things as a teacher. Some days I would not take beans from blurting students and give them more opportunities to fix their behaviors. ","Overall, the blurt beans strategy is not effective for all types of students. This strategy worked exceptionally for a child with minor blurting tendencies. ",0
0,0,2,2,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,"I think the biggest set back was how long it took to get IRB approval. My only suggestion would be to speed up the beginning process as much as possible and get the IRB applications in sooner so that we have more then just the end of the semester to conduct the study. So many of us planned our study and February and didn't actually flush it out till April which means we could be teaching in a completely different unit and style depending on testing and residency schedules. I completely understand how this hard juggle but maybe doubling up on some of the earlier assignments, specifically the smaller ones, can help with this. ",4.0,2.0,I definitely learned that their influence on each other is much stronger than mine. But if I find ways to use that to my advantage then I can still assert my authority over the classroom environment.,It made me realize I am not a strict teacher. That is definitely something I'm gonna have to work on. It's easy for me to let things slide but I have to work on  being consistent. ,I expected most of the outcomes. They followed a common pattern throughout the year. Students start out the week less talkative and then gradually get more out of hand with their behavior. This reflected in my study but I was shocked to see the self regulation that set in place for several of the students in the study as we neared the end and got closer to their incentive. ,0
0,0,2,2,5.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,The process was a bit fast. Everything needed to be completed in a small time frame. ,3.0,3.0,"Students often lack in accountability, but when guided can increase their responsibility ",N/a,All outcomes seemed to be met within my study. ,1
0,1,3,1,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,It was interesting to see that by using the guided notes the students actually paid more attention during instruction. ,2.0,3.0,I learned that my students do much better when they have an outline of notes to follow during instruction. It is easier for them to distinguish between the important topics and less important topics. ,I learned that I can test my strategies through studies in the classroom to find out if they will actually work. ,"The outcomes that I intended to find where that guided notes helped increase student test scores, this outcome did occur at the end of the study. 

Some outcomes that emerged unexpectedly were higher attention from students during instruction and higher participation in class discussion, which I contributed to student being able to study their notes at home so they are more familiar with the material and in turn are more confident when participating in class. ",0
